Category,Title,URL,Description
Market Technology,GPU access to power up India’s AI play: experts,https://economictimes.indiatimes.com/tech/technology/gpu-access-to-power-up-indias-ai-play-experts/articleshow/108335973.cms,"AI Mission will help startups make in India and for the world, say tech investors. The Rs 10,372-crore Artificial Intelligence (AI) Mission, announced on Thursday, will operate on a public-private partnership model."
Market Technology,"Even if the industry achieves half the govt. target for electric vehicle penetration by 2030, overall EV annual sales would touch 12-15 lakh units: BYD India",https://www.thehindubusinessline.com/multimedia/audio/even-if-the-industry-achieves-half-the-govt-target-for-electric-vehicle-penetration-by-2030-overall-ev-annual-sales-would-touch-12-15-lakh-units-byd-india/article67927930.ece,"“For carmakers, India is a long-wait market because the market situation is different, the consumer profiles are different,” says Sanjay Gopalakrishnan, Senior VP, EV Passenger Vehicle business, BYD India."
Market Technology,"After Contactless, The Next Big Thing In Retail Payments Is A2A",https://www.forbes.com/sites/davidbirch/2024/03/08/after-contactless-the-next-big-thing-in-retail-payments-is-a2a/,"As merchants begin to incentivise customers to move towards A2A solutions, I think we will see much-needed competition in the retail payments space."
Market Technology,"Mining Explosives and Systems Market to Reach USD 328.1 billion by 2031, Expanding at a CAGR of 3.3%: Report by Transparency Market Research, Inc.",https://www.globenewswire.com/news-release/2024/03/08/2843295/32656/en/Mining-Explosives-and-Systems-Market-to-Reach-USD-328-1-billion-by-2031-Expanding-at-a-CAGR-of-3-3-Report-by-Transparency-Market-Research-Inc.html,"Intensifying competition among key players drives innovation, pricing strategies, and market expansion in the mining explosives sector. Intensifying competition among key players drives innovation, pricing strategies, and market expansion in the mining explos…"
Market Technology,"New-age consumer brands pulling in funds, tech no bar; and other top stories this week",https://economictimes.indiatimes.com/tech/newsletters/ettech-unwrapped/new-age-consumer-brands-pulling-in-funds-tech-no-bar-and-other-top-stories-this-week/articleshow/108335934.cms,"At the peak of the funding winter last year, an investor told me that the pace of investment deals will continue to be slow, but the nature of companies grabbing new cash will be different. The next obvious question was: what kind of companies? Consumer brand…"
Market Technology,23 Mind-boggling Oligarchs Statistics to Know in 2024,https://techreport.com/statistics/oligarchs-statistics/,"In This Guide Key Oligarchs Statistics General Oligarchs Statistics 1. The Word Oligarchy Was First Used By A Philosopher Named Aristotle. 2. The Net Worth of Billionaires Worldwide Rose From...
The post 23 Mind-boggling Oligarchs Statistics to Know in 2024 a…"
Market Technology,Hayward: China Joe Biden Avoids Any Offense to Beijing in State of the Union,https://www.breitbart.com/asia/2024/03/08/hayward-china-joe-biden-avoids-any-offense-beijing-state-union/,"President Joe Biden’s State of the Union (SOTU) speech included a brief mention of China, but the language was carefully trimmed to avoid saying anything that might offend Beijing, beyond the most cursory mention of Taiwan."
Market Technology,"India to build a 10,000-GPU supercomputer for autarchic AI development",https://www.techspot.com/news/102191-india-build-10000-gpu-supercomputer-autarchic-ai-development.html,"The Indian government, led by Prime Minister Shri Narendra Modi, has approved a new $1.24 billion investment for the IndiaAI mission, a ""national-level"" plan designed to create an all-Indian AI ecosystem from scratch. Most of the proposed funds will likely be…"
Market Technology,"'Iss chunaav mein bhi safai hone wali hai,' says Prime Minister Modi in dig at Opposition",https://economictimes.indiatimes.com/news/elections/lok-sabha/india/iss-chunaav-mein-bhi-safai-hone-wali-hai-says-prime-minister-modi-in-dig-at-opposition/articleshow/108335116.cms,"As he awarded the Swachhta Ambassador Award to Malhar Kalambe, Modi took a dig at the opposition and said, ""Har prakaar ki safai mein kaam aa sakta hai, iss chunaav mein bhi safai hone wali hai (There is going to be a clean-up in this election too)..."""
Market Technology,"Asia-Pacific Small Caliber Ammunition Market Analysis and Forecast Report 2023-2024 and 2033 Featuring Australian Munitions, Hughes Precision Manufacturing, and POONGSAN - ResearchAndMarkets.com",https://www.ibtimes.com.au/press-release/20240309/asia-pacific-small-caliber-ammunition-market-analysis-and-forecast-report-2023-2024-and-2033-featuring-australian-munitions-hughes-precision-manufacturing-and-poongsan-researchandmarkets-com,"DUBLIN--(BUSINESS WIRE)--The ""Asia-Pacific Small Caliber Ammunition Market: Analysis and Forecast, 2023-2033"" report has been added to ResearchAndMarkets.com's offering."
"Environmental, Social, and Governance (ESG) Investing",BlackRock World Mining Trust Plc - Final Results,https://www.marketscreener.com/quote/stock/BLACKROCK-WORLD-MINING-TR-9590243/news/BlackRock-World-Mining-Trust-Plc-Final-Results-46121861/,"(marketscreener.com) 

BlackRock World Mining Trust plcLEI: LNFFPBEUZJBOSR6PW155 Annual Report and Financial Statements 31 December 2023Performance record As at 31 December 2023 As at 31 December 2022  Net assets...https://www.marketscreener.com/quote/stock/B…"
"Environmental, Social, and Governance (ESG) Investing","Pension Funds Market to Reach $109.1 trillion, Globally, by 2032 at 5.5% CAGR: Allied Market Research",https://www.globenewswire.com/news-release/2024/03/07/2842420/0/en/Pension-Funds-Market-to-Reach-109-1-trillion-Globally-by-2032-at-5-5-CAGR-Allied-Market-Research.html,"The demographic shifts, regulatory shifts, and the growing emphasis on sustainable and responsible investing, driven by increasing awareness of environmental, social, and governance (ESG) factors are expanding the market reach of pension funds. The demographi…"
"Environmental, Social, and Governance (ESG) Investing",Genpact Limited (NYSE:G) Shares Purchased by Truist Financial Corp,https://www.etfdailynews.com/2024/03/07/genpact-limited-nyseg-shares-purchased-by-truist-financial-corp/,"Truist Financial Corp raised its holdings in Genpact Limited (NYSE:G – Free Report) by 1,624.0% during the third quarter, according to the company in its most recent Form 13F filing with the SEC. The firm owned 350,400 shares of the business services provider…"
"Environmental, Social, and Governance (ESG) Investing","Bank of Nova Scotia Sells 3,104 Shares of Genpact Limited (NYSE:G)",https://www.etfdailynews.com/2024/03/07/bank-of-nova-scotia-sells-3104-shares-of-genpact-limited-nyseg/,"Bank of Nova Scotia lowered its stake in Genpact Limited (NYSE:G – Free Report) by 20.7% in the 3rd quarter, HoldingsChannel.com reports. The fund owned 11,907 shares of the business services provider’s stock after selling 3,104 shares during the quarter. Ban…"
